IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
82.152.91.43	43192	TRUE	TPE	亚太	台北	177 ms	1080 kB/s
85.208.104.238	53494	TRUE	HKG	亚太	香港	153 ms	855 kB/s
45.192.241.131	25203	TRUE	NRT	亚太	日本东京	165 ms	854 kB/s
141.11.130.142	58491	TRUE	NRT	亚太	日本东京	98 ms	653 kB/s
82.152.91.32	17009	TRUE	TPE	亚太	台北	144 ms	333 kB/s
166.0.198.184	4333	TRUE	TPE	亚太	台北	132 ms	123 kB/s
85.208.104.34	8080	TRUE	HKG	亚太	香港	153 ms	94 kB/s
82.152.91.152	17009	TRUE	TPE	亚太	台北	133 ms	91 kB/s
82.152.91.32	36007	TRUE	TPE	亚太	台北	132 ms	90 kB/s
141.11.90.10	22219	TRUE	HKG	亚太	香港	178 ms	83 kB/s
82.152.91.32	34735	TRUE	TPE	亚太	台北	193 ms	69 kB/s
