IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
45.202.246.126	82	TRUE	HKG	亚太	香港	156 ms	9601 kB/s
166.0.198.81	28152	TRUE	TPE	亚太	台北	132 ms	9596 kB/s
166.0.198.81	28072	TRUE	TPE	亚太	台北	136 ms	9579 kB/s
166.0.198.81	28134	TRUE	TPE	亚太	台北	132 ms	9572 kB/s
166.0.198.81	28120	TRUE	TPE	亚太	台北	132 ms	9570 kB/s
45.207.159.89	17009	TRUE	TPE	亚太	台北	132 ms	9569 kB/s
91.229.132.174	34307	TRUE	HKG	亚太	香港	154 ms	9552 kB/s
156.224.78.171	25463	TRUE	HKG	亚太	香港	154 ms	9550 kB/s
82.152.90.229	48721	TRUE	HKG	亚太	香港	132 ms	9528 kB/s
154.83.86.36	25544	TRUE	HKG	亚太	香港	157 ms	9486 kB/s
166.0.198.81	28136	TRUE	TPE	亚太	台北	136 ms	9479 kB/s
154.204.183.62	47388	TRUE	SIN	亚太	新加坡	177 ms	9476 kB/s
166.0.198.81	28151	TRUE	TPE	亚太	台北	133 ms	9434 kB/s
145.79.148.80	9527	TRUE	TPE	亚太	台北	132 ms	9422 kB/s
82.152.90.155	17009	TRUE	TPE	亚太	台北	136 ms	9384 kB/s
45.207.157.114	17405	TRUE	HKG	亚太	香港	156 ms	9384 kB/s
166.0.198.81	28102	TRUE	TPE	亚太	台北	132 ms	9378 kB/s
154.83.86.191	17455	TRUE	HKG	亚太	香港	156 ms	9342 kB/s
141.11.149.97	25463	TRUE	HKG	亚太	香港	153 ms	9334 kB/s
166.0.198.81	28083	TRUE	TPE	亚太	台北	132 ms	9323 kB/s
156.224.76.183	8080	TRUE	HKG	亚太	香港	154 ms	9314 kB/s
166.0.198.81	28127	TRUE	TPE	亚太	台北	133 ms	9295 kB/s
156.226.172.154	44300	TRUE	HKG	亚太	香港	153 ms	9222 kB/s
83.147.12.103	17009	TRUE	TPE	亚太	台北	132 ms	9182 kB/s
141.11.131.219	33503	TRUE	NRT	亚太	日本东京	98 ms	9175 kB/s
45.192.241.147	14432	TRUE	NRT	亚太	日本东京	161 ms	9157 kB/s
45.207.159.119	17009	TRUE	TPE	亚太	台北	132 ms	9140 kB/s
104.234.233.56	58483	TRUE	SIN	亚太	新加坡	164 ms	9130 kB/s
45.207.156.126	51752	TRUE	HKG	亚太	香港	155 ms	9082 kB/s
178.253.32.49	1103	TRUE	HKG	亚太	香港	154 ms	9052 kB/s
166.0.198.81	28108	TRUE	TPE	亚太	台北	132 ms	9042 kB/s
166.0.198.81	28033	TRUE	TPE	亚太	台北	132 ms	9036 kB/s
166.0.198.81	28154	TRUE	TPE	亚太	台北	133 ms	8999 kB/s
166.0.198.81	28092	TRUE	TPE	亚太	台北	132 ms	8981 kB/s
154.83.86.191	17451	TRUE	HKG	亚太	香港	159 ms	8964 kB/s
166.0.198.81	17009	TRUE	TPE	亚太	台北	132 ms	8960 kB/s
104.234.233.56	58484	TRUE	SIN	亚太	新加坡	164 ms	8914 kB/s
141.11.87.155	36007	TRUE	TPE	亚太	台北	136 ms	8914 kB/s
104.192.92.224	40248	TRUE	SIN	亚太	新加坡	165 ms	8893 kB/s
45.207.157.138	62910	TRUE	HKG	亚太	香港	156 ms	8879 kB/s
166.0.198.81	28020	TRUE	TPE	亚太	台北	132 ms	8873 kB/s
151.242.165.228	29135	TRUE	NRT	亚太	日本东京	108 ms	8847 kB/s
154.83.86.98	55443	TRUE	HKG	亚太	香港	157 ms	8846 kB/s
