IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
45.8.113.22	50473	TRUE	NRT	亚太	日本东京	117 ms	310 kB/s
141.98.197.44	50535	TRUE	NRT	亚太	日本东京	111 ms	25 kB/s
45.8.114.99	443	TRUE	NRT	亚太	日本东京	123 ms	20 kB/s
45.8.114.99	2053	TRUE	NRT	亚太	日本东京	119 ms	19 kB/s
45.129.8.164	23333	TRUE	NRT	亚太	日本东京	126 ms	18 kB/s
147.78.246.86	51448	TRUE	TPE	亚太	台北	121 ms	5 kB/s
45.8.113.30	50223	TRUE	NRT	亚太	日本东京	111 ms	0 kB/s
45.66.217.153	58816	TRUE	NRT	亚太	日本东京	116 ms	0 kB/s
172.93.221.34	11876	TRUE	NRT	亚太	日本东京	110 ms	0 kB/s
45.8.114.204	28678	TRUE	NRT	亚太	日本东京	117 ms	0 kB/s
45.129.8.65	30000	TRUE	NRT	亚太	日本东京	131 ms	0 kB/s
45.129.9.76	34471	TRUE	NRT	亚太	日本东京	116 ms	0 kB/s
45.66.130.111	10118	TRUE	NRT	亚太	日本东京	120 ms	0 kB/s
45.153.245.76	11111	TRUE	NRT	亚太	日本东京	118 ms	0 kB/s
45.129.9.20	20023	TRUE	NRT	亚太	日本东京	114 ms	0 kB/s
45.129.8.68	45631	TRUE	NRT	亚太	日本东京	122 ms	0 kB/s

